GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter,ProxyOuterAdapter,91,0,0,0,29,0,9,0,9,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter,OuterAdapter,12,0,0,0,3,0,3,0,3,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,FileName2KeyMapping,41,0,0,0,8,0,6,0,6,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,Util,721,0,80,0,164,0,61,0,21,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,OuterAdapterConfig,38,0,0,0,16,0,11,0,11,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,ExtensionLoader,1070,0,108,0,199,0,71,0,17,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,CanalClientConfig.Group,32,0,0,0,12,0,7,0,7,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,Util.new CacheLoader() {...},6,0,0,0,2,0,2,0,2,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,ExtensionLoader.Holder,7,0,0,0,3,0,2,0,2,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,MappingConfigsLoader,223,0,20,0,38,0,13,0,3,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,CanalClientConfig.CanalAdapter,20,0,2,0,8,0,6,0,5,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,Dml,174,0,0,0,47,0,27,0,27,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,YamlUtils,208,0,18,0,45,0,16,0,7,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,URLClassExtensionLoader,78,0,20,0,21,0,13,0,3,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,DatasourceConfig,67,0,0,0,26,0,16,0,16,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,DaemonThreadFactory,17,0,0,0,5,0,3,0,3,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,JdbcTypeUtil,245,0,66,0,71,0,50,0,6,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,AbstractEtlService,372,0,26,0,64,0,17,0,4,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,URLClassExtensionLoader.CompoundEnumeration,56,0,8,0,13,0,8,0,4,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,CanalClientConfig,179,0,0,0,73,0,45,0,45,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,Result,44,0,0,0,17,0,10,0,10,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,MessageUtil,478,0,66,0,126,0,38,0,5,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,Constant,3,0,0,0,1,0,1,0,1,0
canal client adapter hbase module for otter 1.1.8/client-adapter.common,com.alibaba.otter.canal.client.adapter.support,EtlResult,27,0,0,0,11,0,7,0,7,0
